name,path,fecha,Etiquetador
Golpes1502.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/Segmentado/20240315%20Etiquetado,06/03/24,Jesus+Fran
Golpes_0202.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/Segmentado/20240315%20Etiquetado,22/04/24,Jesus
Golpes_JesusV2_Corregido.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/Segmentado/20240315%20Etiquetado,16/04/24,Jesus
20240109_Fran_yolo.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/Segmentado/20240315%20Etiquetado/Fran/Golpes,23/04/24,Fran
Golpes.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/Segmentado/20240315%20Etiquetado,25/04/24,Jesus
web-scrapping-test.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/Segmentado,30/05/2024,Fran
web-scrapping-val.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/Segmentado,30/05/2024,Fran
web-scrapping-train.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/Segmentado,30/05/2024,Jesus
CVAT_task0_to_task22.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/Segmentado,20/03/24,Fran
NAS_collection.zip,,07/06/24,NA
damages_seg.zip,,07/06/24,NA
Cardamage_detection.zip,,07/06/24,NA
car_damage_part_v6.zip,,07/06/24,NA
all_bbox_folders_to_seg.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/BoundingBox/Golpes/all_bbox_folders_to_seg.zip,13/06/24,NA
all_bbox_folders_to_seg2.zip,smb://192.168.1.252/serverstorage/ServerStorage/Proyectos/04.01.02%20Proyectos%20en%20Curso/IA/20211126%20eyesDcar/Recursos/Golpes/Recursos/BoundingBox/Golpes/all_bbox_folders_to_seg2.zip,16/08/24,Fran y Jesus
